iter	Passed	Remaining
0	1488	1487494
1	1503	750240
2	1508	501485
3	1514	377204
4	1519	302367
5	1531	253749
6	1536	217927
7	1545	191611
8	1549	170644
9	1562	154700
10	1573	141492
11	1578	129943
12	1585	120356
13	1592	112125
14	1596	104839
15	1602	98549
16	1614	93346
17	1619	88343
18	1633	84352
19	1650	80892
20	1662	77488
21	1673	74374
22	1677	71267
23	1691	68794
24	1696	66168
25	1701	63731
26	1707	61531
27	1720	59732
28	1725	57767
29	1740	56275
30	1748	54658
31	1753	53037
32	1765	51744
33	1775	50445
34	1784	49213
35	1792	47987
36	1799	46830
37	1808	45795
38	1814	44705
39	1821	43723
40	1828	42768
41	1878	42842
42	1891	42094
43	1896	41204
44	1907	40483
45	1912	39660
46	1927	39075
47	1942	38532
48	1951	37876
49	1958	37204
50	1968	36634
51	1973	35975
52	1984	35466
53	2022	35429
54	2027	34833
55	2036	34333
56	2043	33799
57	2054	33375
58	2069	33004
59	2085	32679
60	2090	32175
61	2102	31810
62	2106	31334
63	2117	30968
64	2122	30525
65	2131	30158
66	2135	29733
67	2140	29331
68	2151	29023
69	2155	28634
70	2163	28306
71	2178	28079
72	2195	27883
73	2201	27546
74	2211	27269
75	2216	26942
76	2223	26657
77	2228	26337
78	2232	26027
79	2238	25747
80	2245	25472
81	2248	25175
82	2253	24892
83	2257	24619
84	2263	24362
85	2273	24167
86	2284	23974
87	2293	23764
88	2296	23510
89	2308	23338
90	2311	23092
91	2321	22915
92	2361	23030
93	2371	22857
94	2380	22681
95	2385	22462
96	2397	22314
97	2410	22187
98	2421	22036
99	2426	21840
100	2441	21727
101	2447	21549
102	2452	21357
103	2484	21407
104	2493	21252
105	2506	21141
106	2521	21047
107	2527	20876
108	2536	20737
109	2555	20678
110	2570	20591
111	2576	20429
112	2592	20352
113	2597	20183
114	2607	20068
115	2611	19899
116	2614	19729
117	2623	19611
118	2628	19460
119	2642	19379
120	2654	19281
121	2657	19127
122	2665	19005
123	2681	18940
124	2685	18800
125	2695	18694
126	2697	18544
127	2701	18406
128	2711	18308
129	2716	18178
130	2725	18078
131	2729	17946
132	2733	17819
133	2740	17712
134	2745	17589
135	2748	17464
136	2758	17374
137	2761	17251
138	2772	17170
139	2777	17059
140	2793	17019
141	2796	16896
142	2803	16798
143	2807	16690
144	2812	16582
145	2823	16518
146	2828	16414
147	2841	16356
148	2852	16290
149	2904	16461
150	2917	16406
151	2936	16381
152	2946	16314
153	2950	16208
154	2954	16104
155	2964	16040
156	2968	15939
157	2975	15856
158	2982	15776
159	2995	15724
160	2997	15621
161	3010	15575
162	3015	15485
163	3024	15416
164	3029	15328
165	3032	15236
166	3042	15178
167	3046	15088
168	3050	15001
169	3056	14923
170	3060	14835
171	3069	14776
172	3075	14702
173	3101	14721
174	3105	14641
175	3109	14559
176	3119	14502
177	3123	14425
178	3131	14361
179	3135	14285
180	3141	14214
181	3151	14163
182	3155	14085
183	3166	14042
184	3170	13968
185	3174	13893
186	3179	13823
187	3191	13785
188	3196	13716
189	3200	13646
190	3214	13617
191	3219	13548
192	3228	13500
193	3232	13429
194	3244	13392
195	3246	13315
196	3248	13239
197	3249	13163
198	3254	13099
199	3255	13023
200	3257	12949
201	3259	12874
202	3262	12809
203	3271	12766
204	3275	12704
205	3279	12641
206	3292	12614
207	3306	12591
208	3346	12665
209	3355	12624
210	3360	12565
211	3363	12503
212	3374	12467
213	3377	12406
214	3384	12357
215	3390	12307
216	3411	12308
217	3417	12259
218	3432	12239
219	3436	12184
220	3446	12147
221	3449	12090
222	3453	12033
223	3463	12000
224	3468	11946
225	3475	11903
226	3481	11855
227	3493	11828
228	3508	11811
229	3513	11762
230	3517	11708
231	3527	11677
232	3549	11682
233	3559	11651
234	3565	11606
235	3573	11567
236	3577	11518
237	3589	11491
238	3603	11473
239	3608	11425
240	3616	11390
241	3620	11341
242	3624	11290
243	3629	11246
244	3633	11197
245	3641	11161
246	3646	11117
247	3658	11093
248	3666	11058
249	3671	11015
250	3675	10967
251	3683	10932
252	3689	10893
253	3693	10846
254	3701	10813
255	3704	10766
256	3716	10743
257	3720	10699
258	3729	10670
259	3735	10632
260	3749	10616
261	3764	10604
262	3769	10563
263	3773	10520
264	3780	10486
265	3784	10442
266	3794	10417
267	3798	10375
268	3809	10352
269	3813	10311
270	3817	10269
271	3828	10247
272	3841	10229
273	3857	10221
274	3862	10182
275	3866	10141
276	3872	10107
277	3876	10066
278	3886	10042
279	3889	10002
280	3893	9962
281	3904	9940
282	3908	9902
283	3915	9872
284	3921	9837
285	3932	9818
286	3938	9783
287	3942	9747
288	3953	9725
289	3957	9689
